r                        V(r)
2.152152152152152276e+00 0.000000000000000000e+00
2.157157157157157279e+00 0.000000000000000000e+00
2.162162162162162282e+00 0.000000000000000000e+00
2.167167167167167285e+00 0.000000000000000000e+00
2.172172172172172289e+00 0.000000000000000000e+00
2.177177177177177292e+00 0.000000000000000000e+00
2.182182182182182295e+00 0.000000000000000000e+00
2.187187187187187298e+00 0.000000000000000000e+00
2.192192192192192302e+00 0.000000000000000000e+00
2.197197197197197305e+00 0.000000000000000000e+00
2.202202202202202308e+00 0.000000000000000000e+00
2.207207207207207311e+00 0.000000000000000000e+00
2.212212212212212314e+00 0.000000000000000000e+00
2.217217217217217318e+00 0.000000000000000000e+00
2.222222222222222321e+00 0.000000000000000000e+00
2.227227227227227324e+00 0.000000000000000000e+00
2.232232232232232327e+00 0.000000000000000000e+00
2.237237237237237331e+00 0.000000000000000000e+00
2.242242242242242334e+00 0.000000000000000000e+00
2.247247247247247337e+00 0.000000000000000000e+00
2.252252252252252340e+00 0.000000000000000000e+00
2.257257257257257343e+00 0.000000000000000000e+00
2.262262262262262347e+00 0.000000000000000000e+00
2.267267267267267350e+00 0.000000000000000000e+00
2.272272272272272353e+00 0.000000000000000000e+00
2.277277277277277356e+00 0.000000000000000000e+00
2.282282282282282360e+00 0.000000000000000000e+00
2.287287287287287363e+00 0.000000000000000000e+00
2.292292292292292366e+00 0.000000000000000000e+00
2.297297297297297369e+00 0.000000000000000000e+00
2.302302302302302373e+00 0.000000000000000000e+00
2.307307307307307376e+00 0.000000000000000000e+00
2.312312312312312379e+00 0.000000000000000000e+00
2.317317317317317382e+00 0.000000000000000000e+00
2.322322322322322385e+00 0.000000000000000000e+00
2.327327327327327389e+00 0.000000000000000000e+00
2.332332332332332392e+00 0.000000000000000000e+00
2.337337337337337395e+00 0.000000000000000000e+00
2.342342342342342398e+00 0.000000000000000000e+00
2.347347347347347402e+00 0.000000000000000000e+00
2.352352352352352405e+00 0.000000000000000000e+00
2.357357357357357408e+00 0.000000000000000000e+00
2.362362362362362411e+00 0.000000000000000000e+00
2.367367367367367414e+00 0.000000000000000000e+00
2.372372372372372418e+00 0.000000000000000000e+00
2.377377377377377421e+00 0.000000000000000000e+00
2.382382382382382424e+00 0.000000000000000000e+00
2.387387387387387427e+00 0.000000000000000000e+00
2.392392392392392431e+00 0.000000000000000000e+00
2.397397397397397434e+00 0.000000000000000000e+00
2.402402402402402437e+00 0.000000000000000000e+00
2.407407407407407440e+00 0.000000000000000000e+00
2.412412412412412444e+00 0.000000000000000000e+00
2.417417417417417447e+00 0.000000000000000000e+00
2.422422422422422450e+00 0.000000000000000000e+00
2.427427427427427453e+00 0.000000000000000000e+00
2.432432432432432456e+00 0.000000000000000000e+00
2.437437437437437460e+00 0.000000000000000000e+00
2.442442442442442463e+00 0.000000000000000000e+00
2.447447447447447466e+00 0.000000000000000000e+00
2.452452452452452469e+00 0.000000000000000000e+00
2.457457457457457473e+00 0.000000000000000000e+00
2.462462462462462476e+00 0.000000000000000000e+00
2.467467467467467479e+00 0.000000000000000000e+00
2.472472472472472482e+00 0.000000000000000000e+00
2.477477477477477485e+00 0.000000000000000000e+00
2.482482482482482489e+00 0.000000000000000000e+00
2.487487487487487492e+00 0.000000000000000000e+00
2.492492492492492495e+00 0.000000000000000000e+00
2.497497497497497498e+00 0.000000000000000000e+00
2.502502502502502502e+00 0.000000000000000000e+00
2.507507507507507505e+00 0.000000000000000000e+00
2.512512512512512508e+00 0.000000000000000000e+00
2.517517517517517511e+00 0.000000000000000000e+00
2.522522522522522515e+00 0.000000000000000000e+00
2.527527527527527518e+00 0.000000000000000000e+00
2.532532532532532521e+00 0.000000000000000000e+00
2.537537537537537524e+00 0.000000000000000000e+00
2.542542542542542527e+00 0.000000000000000000e+00
